id,text_bn,text_en,sentiment,gender_reference,dialect,dialect_raw,style,source_type,length_char,length_words,dialect_marker_count,cross_dialect_marker_count,dialect_authenticity,is_political_content
19,Amar Sona koi,Where is my Sona (Gold/dear)?,Neutral,Neutral,Other/Unclassified,Informal,Informal,YouTube,13,3,0,0,no_markers_found,False
20,Sylheti kaw aso,Is anyone Sylheti?,Neutral,Neutral,Other/Unclassified,Informal,Informal,YouTube,15,3,0,0,no_markers_found,False
21,সবার আগে বাংলাদেশ,Bangladesh first.,Positive,Neutral,Standard,Standard,Informal,YouTube,17,3,0,0,standard_ok,False
22,Thanks younus Sir,Thanks Yunus Sir.,Positive,Male,Other/Unclassified,English,Informal,YouTube,17,3,0,0,no_markers_found,False
23,জামায়াত ইসলামি জিন্দাবাদ,Jamaat-e-Islami Zindabad.,Positive,Neutral,Standard,Standard,Informal,YouTube,25,3,0,0,standard_ok,False
24,জামায়াত ইসলাম জিন্দাবাদ,Jamaat-e-Islami Zindabad.,Positive,Neutral,Standard,Standard,Informal,YouTube,24,3,0,0,standard_ok,False
25,I LOVE NCP ️,I LOVE NCP ️,Positive,Neutral,Other/Unclassified,English,Informal,YouTube,12,4,0,0,no_markers_found,False
26,মুন্নী আপা সঠিক জবাব,"Munni Apa, correct answer.",Positive,Female,Standard,Standard,Informal,YouTube,20,4,0,0,standard_ok,False
27,সাব্বাশ মান্নান ভাই,Bravo Mannan bhai.,Positive,Male,Standard,Standard,Informal,YouTube,19,3,0,0,standard_ok,False
28,বি এন বি ভালো,BNP is good.,Positive,Neutral,Standard,Standard,Informal,YouTube,13,4,0,0,standard_ok,False
29,সঞ্চালনায় নিকোল বেস্ট,Nicole is the best at hosting.,Positive,Female,Standard,Standard,Informal,YouTube,22,3,0,0,standard_ok,False
30,জামাত ইসলাম জিন্দাবাদ,Jamaat-e-Islami Zindabad.,Positive,Neutral,Standard,Standard,Informal,YouTube,21,3,0,0,standard_ok,True
31,Nikol apo kothai,Where is Nicole Apu?,Neutral,Female,Other/Unclassified,Informal,Informal,YouTube,16,3,0,0,no_markers_found,False
32,NCP mane agon,NCP means fire.,Positive,Neutral,Other/Unclassified,English,Informal,YouTube,13,3,0,0,no_markers_found,False
33,নিকোল জয় বাংলা,"Nicole, Joy Bangla (implying Nicole is biased towards Awami League).",Negative,Female,Standard,Standard,Informal,YouTube,15,3,0,0,standard_ok,False
34,গণভোট কিভাবে হবে?,How will the referendum be held?,Neutral,Neutral,Standard,Standard,Formal,YouTube,17,3,0,0,standard_ok,True
35,ভালো লাগছে না,I don't feel good.,Negative,Neutral,Standard,Standard,Informal,YouTube,13,3,0,0,standard_ok,False
36,Nikol ke chai,We want Nicole.,Positive,Female,Other/Unclassified,Informal,Informal,YouTube,13,3,0,0,no_markers_found,False
37,Nikul apu kuthai,Where is Nicole Apu?,Neutral,Female,Other/Unclassified,Informal,Informal,YouTube,16,3,0,0,no_markers_found,False
38,munni fales documents.,Munni falsifies documents.,Negative,Female,Other/Unclassified,English,Informal,YouTube,22,3,0,0,no_markers_found,False
39,bnp purai faul,BNP is totally foul.,Negative,Neutral,Other/Unclassified,Informal,Informal,YouTube,14,3,0,0,no_markers_found,False
40,নিকল মিছ ইউ,Nicole miss you.,Positive,Female,Other/Unclassified,Informal,Informal,YouTube,11,3,0,0,no_markers_found,False
41,নূরের বক্তব্যে সঠিক।,Nur's statement is correct.,Positive,Neutral,Standard,Standard,Formal,YouTube,20,3,0,0,standard_ok,False
42,গণভোট দেওয়া হোক।,Let the referendum be held.,Neutral,Neutral,Standard,Standard,Formal,YouTube,17,3,0,0,standard_ok,True
43,গণভোট আগে চাই,We want the referendum first.,Neutral,Neutral,Standard,Standard,Informal,YouTube,13,3,0,0,standard_ok,True
44,ইউনুছ বেইমানি করেছে,Yunus has committed betrayal.,Negative,Male,Standard,Standard,Informal,YouTube,19,3,0,0,standard_ok,False
45,গগনভোট আগে চাই।,We want the referendum first.,Neutral,Neutral,Standard,Standard,Informal,YouTube,15,3,0,0,standard_ok,False
46,ডাক্তারদের দিয়ে দেন,Give it to the doctors.,Neutral,Neutral,Standard,Standard,Informal,YouTube,20,3,0,0,standard_ok,False
47,ভারতীয় আওয়ামী বয়ানে।,In the Indian Awami narrative.,Negative,Neutral,Standard,Standard,Formal,YouTube,23,3,0,0,standard_ok,False
48,আগে গন ভোট,Referendum first.,Neutral,Neutral,Standard,Standard,Informal,YouTube,10,3,0,0,standard_ok,False
49,হত্যা করেছে মববাহিনী,Killed by the mob.,Negative,Neutral,Standard,Standard,Informal,YouTube,20,3,0,0,standard_ok,False
50,একোই কথা 1:14,The same thing 1:14.,Neutral,Neutral,Standard,Standard,Informal,YouTube,13,3,0,0,standard_ok,False
51,এত ভয় কেন?,Why so much fear?,Negative,Neutral,Standard,Standard,Informal,YouTube,11,3,0,0,standard_ok,False
52,লকডাউন সফল হক,May the lockdown be successful.,Positive,Neutral,Standard,Standard,Informal,YouTube,13,3,0,1,standard_with_dialect_markers,False
53,"মুক্তি, যোদ্ধা,দেশ,","Freedom, fighter, country.",Positive,Neutral,Standard,Standard,Informal,YouTube,19,2,0,0,standard_ok,False
54,জয় বাংলা জিতবে,Joy Bangla will win.,Positive,Neutral,Standard,Standard,Informal,YouTube,15,3,0,0,standard_ok,False
55,সরকার ভয় পাইছে,The government is afraid.,Negative,Neutral,Standard,Standard,Informal,YouTube,15,3,0,0,standard_ok,False
56,Same same but different,Same same but different.,Neutral,Neutral,Other/Unclassified,English,Informal,YouTube,23,4,0,0,no_markers_found,False
57,ডরাই ছে ইন্নুচ,Yunus is afraid (slang).,Negative,Male,Other/Unclassified,Informal,Informal,YouTube,14,3,0,0,no_markers_found,False
58,আল্লাহ সর্বশক্তিমান ️,Allah is Almighty ️,Positive,Neutral,Other/Unclassified,Arabic,Formal,YouTube,21,3,0,0,no_markers_found,False
59,Very good natok,Very good drama.,Neutral,Neutral,Other/Unclassified,English,Informal,YouTube,15,3,0,0,no_markers_found,False
60,নাটক ভালো হইছে,The drama is good.,Neutral,Neutral,Standard,Standard,Informal,YouTube,14,3,0,0,standard_ok,False
61,জামায়াত জড়িত,Jamaat is involved.,Negative,Neutral,Standard,Standard,Informal,YouTube,14,2,0,0,standard_ok,False
62,সেই হয়েছে সেই,That was great.,Positive,Neutral,Standard,Standard,Informal,YouTube,14,3,0,0,standard_ok,False
63,শিবিরের সাজানো নাটক।,Shibir's staged drama.,Negative,Neutral,Standard,Standard,Informal,YouTube,20,3,0,0,standard_ok,False
64,শিবির এর কাজ,Shibir's work.,Negative,Neutral,Standard,Standard,Informal,YouTube,12,3,0,0,standard_ok,False
65,সব ইউনুস নাটক।,All Yunus drama.,Negative,Male,Standard,Standard,Formal,YouTube,14,3,0,0,standard_ok,False
66,Joy Bangla joy ...,Joy Bangla Joy...,Positive,Neutral,Other/Unclassified,English,Informal,YouTube,18,4,0,0,no_markers_found,False
67,Akta koktele ai obostha.,This situation with one cocktail.,Negative,Neutral,Other/Unclassified,Informal,Informal,YouTube,24,4,0,0,no_markers_found,False
68,দারুণ দারুণ দারুণ,"Awesome, awesome, awesome.",Positive,Neutral,Standard,Standard,Informal,YouTube,17,3,0,0,standard_ok,False
69,ইউনুসের নতুন নাটক,Yunus's new drama.,Negative,Male,Standard,Standard,Formal,YouTube,17,3,0,0,standard_ok,False
70,শিবিরের ছেলেরাই করেছে,Shibir's boys did it.,Negative,Male,Standard,Standard,Informal,YouTube,21,3,0,0,standard_ok,False
71,"নাটক,নাটক,নাটক","Drama, drama, drama.",Negative,Neutral,Standard,Standard,Informal,YouTube,14,1,0,0,standard_ok,False
72,সরকারের এগুলো কাজ,These are the government's actions.,Negative,Neutral,Standard,Standard,Informal,YouTube,17,3,0,0,standard_ok,False
73,এটা জমাতের নটক,This is Jamaat's drama.,Negative,Neutral,Standard,Standard,Informal,YouTube,14,3,0,0,standard_ok,False
74,সব সাজানো নাটক,All staged drama.,Negative,Neutral,Standard,Standard,Informal,YouTube,14,3,0,0,standard_ok,False
75,সি সি টিভির ফুটেজ চাই?,Want CCTV footage?,Neutral,Neutral,Standard,Standard,Informal,YouTube,22,5,0,0,standard_ok,False
76,দেশে সার্কাস চলছে।,A circus is going on in the country.,Neutral,Neutral,Standard,Standard,Informal,YouTube,18,3,0,0,standard_ok,False
77,নাটক পর্ব চলছে,The drama episode is running.,Neutral,Neutral,Standard,Standard,Informal,YouTube,14,3,0,0,standard_ok,False
78,নাটক অফ করেন।,Turn off the drama.,Negative,Neutral,Standard,Standard,Informal,YouTube,13,3,0,0,standard_ok,False
79,জামাতের কাজ 1:28,Jamaat's work 1:28.,Negative,Neutral,Standard,Standard,Informal,YouTube,16,3,0,0,standard_ok,True
80,শিবিরের নাটক,Shibir's drama.,Negative,Neutral,Standard,Standard,Informal,YouTube,12,2,0,0,standard_ok,False
81,Shibir er kaj,Shibir's work.,Negative,Neutral,Other/Unclassified,Informal,Informal,YouTube,13,3,0,0,no_markers_found,False
83,"বািকটা আওয়ামী লীগের,,,","The rest is Awami League's,,,",Neutral,Neutral,Standard,Standard,Informal,YouTube,23,3,0,0,standard_ok,True
84,ভুয়া ভুয়া সাজানো,"Fake, fake, staged.",Negative,Neutral,Standard,Standard,Informal,YouTube,18,3,0,0,standard_ok,False
85,শিবিলীগ এই কাজ করছে,Shibiliig (Shibir + League) is doing this work.,Negative,Neutral,Standard,Standard,Informal,YouTube,19,4,0,0,standard_ok,False
86,Made in unus,Made in Yunus.,Negative,Male,Other/Unclassified,English,Informal,YouTube,12,3,0,0,no_markers_found,False
87,Nirbachon pichanur danda,Scheme to postpone the election.,Negative,Neutral,Other/Unclassified,Informal,Informal,YouTube,24,3,0,0,no_markers_found,False
88,Nirbachon nadiyar fondi,Scheme to not give election.,Negative,Neutral,Other/Unclassified,Informal,Informal,YouTube,23,3,0,0,no_markers_found,False
90,নাটক কম কর,Do less drama.,Negative,Neutral,Standard,Standard,Informal,YouTube,10,3,0,0,standard_ok,False
91,শিবিরের কাজ,Shibir's work.,Negative,Neutral,Standard,Standard,Informal,YouTube,11,2,0,0,standard_ok,False
92,জামায়াত শিবির করেছে,Jamaat-Shibir did it.,Negative,Neutral,Standard,Standard,Informal,YouTube,20,3,0,0,standard_ok,False
93,ইলিয়াস ঠিক বলছেন,Ilias is speaking the truth.,Positive,Male,Standard,Standard,Informal,YouTube,17,3,0,0,standard_ok,False
94,ইলিয়াস সাংবাদিক জিন্দাবাদ,Ilias journalist Zindabad,Positive,Male,Standard,Standard,Informal,YouTube,26,3,0,0,standard_ok,False
95,"ইলিয়াস ভাই,, ইনকিলাব জিন্দাবাদ","Ilias bhai,, Inquilab Zindabad",Positive,Male,Standard,Standard,Informal,YouTube,31,4,0,0,standard_ok,False
96,Thanks yoy Elias Hossain,Thanks you Elias Hossain,Positive,Male,Other/Unclassified,Informal,Informal,YouTube,24,4,0,0,no_markers_found,False
97,ভাই আপনি একটা জিনিস,"Brother, you are something else.",Positive,Male,Standard,Standard,Informal,YouTube,19,4,0,0,standard_ok,False
98,লাভ ইউ ইলিয়াস ভাই,Love you Ilias bhai,Positive,Male,Standard,Standard,Informal,YouTube,18,4,0,0,standard_ok,False
100,"লাভ ইউ, ইলিয়াস ভাই","Love you, Ilias bhai",Positive,Male,Standard,Standard,Informal,YouTube,19,4,0,0,standard_ok,False
101,এলিয়াস ভাই সঠিক,Elias bhai is right,Positive,Male,Other/Unclassified,Informal,Informal,YouTube,15,3,0,0,no_markers_found,False
102,ইলিয়াস ভাই পাকিস্তান জিন্দাবাদ,lias bhai Pakistan Zindabad,Positive,Male,Standard,Standard,Informal,YouTube,31,4,0,1,standard_with_dialect_markers,False
103,এলিজ ভাই সঠিক,Elias bhai is right,Positive,Male,Other/Unclassified,Informal,Informal,YouTube,13,3,0,0,no_markers_found,False
105,খুব সুন্দর লাগলো গানটি,Very beautiful song.,Positive,Neutral,Standard,Standard,Informal,YouTube,22,4,0,0,standard_ok,False
106,অনেক খুব সুন্দর হইছে আপুনি,"You did very beautifully, sister.",Positive,Female,Standard,Standard,Informal,YouTube,26,5,0,1,standard_with_dialect_markers,False
107,আমার পছন্দের একটা গান ️️,One of my favorite songs. ️️,Positive,Neutral,Standard,Standard,Informal,YouTube,24,5,0,0,standard_ok,False
108,খুব সুন্দর হইছে আপুনি,"You did very beautifully, sister.",Positive,Female,Standard,Standard,Informal,YouTube,21,4,0,0,standard_ok,False
109,খুব সুদর লাগলো গানটি,The song was very beautiful.,Positive,Neutral,Standard,Standard,Informal,YouTube,20,4,0,0,standard_ok,False
110,গানটা অনেক সুন্দর হইছে,The song is very beautiful.,Positive,Neutral,Standard,Standard,Informal,YouTube,22,4,0,1,standard_with_dialect_markers,False
112,গানটা কিন্তু অনেক সুন্দর,The song is very beautiful.,Positive,Neutral,Standard,Standard,Informal,YouTube,24,4,0,1,standard_with_dialect_markers,False
113,গানটা অনেক সুন্দর....!!,The song is very beautiful....!!,Positive,Neutral,Standard,Standard,Informal,YouTube,23,3,0,1,standard_with_dialect_markers,False
114,গানটা খুব সুন্দর,The song is very beautiful.,Positive,Neutral,Standard,Standard,Informal,YouTube,16,3,0,0,standard_ok,False
115,সত্যি গানটা অনেক সুন্দর,The song is truly very beautiful.,Positive,Neutral,Standard,Standard,Informal,YouTube,23,4,0,1,standard_with_dialect_markers,False
116,অনেক সুন্দর গান টা,The song is very beautiful.,Positive,Neutral,Standard,Standard,Informal,YouTube,18,4,0,1,standard_with_dialect_markers,False
117,সিলেট মানে আগুন,Sylhet means fire.,Positive,Neutral,Standard,Standard,Informal,YouTube,15,3,0,0,standard_ok,False
118,সিলেট বলে কথা,"Sylhet, that's the point.",Positive,Neutral,Standard,Standard,Informal,YouTube,13,3,0,0,standard_ok,False
119,Love from India🇮🇳 Assam Silchar,Love from India 🇮🇳 Assam Silchar.,Positive,Neutral,Other/Unclassified,English,Informal,YouTube,31,5,0,0,no_markers_found,False
120,সুফল বয়ে যায়,Good results are brought.,Neutral,Neutral,Standard,Standard,Formal,YouTube,14,3,0,0,standard_ok,False
121,আবারও শুনতেছি ২০২৫ সালে,Listening again in 2025.,Neutral,Neutral,Standard,Standard,Informal,YouTube,23,4,0,0,standard_ok,False
122,Nice2025 abar sunlam,Nice. Listened again in 2025.,Positive,Neutral,Other/Unclassified,English,Informal,YouTube,20,3,0,0,no_markers_found,False
123,2026 ea ganta sonlam,Heard the song in 2026.,Neutral,Neutral,Other/Unclassified,Informal,Informal,YouTube,20,4,0,0,no_markers_found,False
124,betala sundor oicha song,Very beautiful song.,Positive,Neutral,Other/Unclassified,Informal,Informal,YouTube,24,4,0,0,no_markers_found,False
125,শামিম ভাই সেই হইছে,Shamim bhai is great.,Positive,Male,Standard,Standard,Informal,YouTube,18,4,0,0,standard_ok,False
126,Ky ky india theyke,Who all are from India?,Neutral,Neutral,Other/Unclassified,Informal,Informal,YouTube,18,4,0,0,no_markers_found,False
127,সিলেটি ঐতিহ্যের গান,Song of Sylheti tradition.,Positive,Neutral,Standard,Standard,Formal,YouTube,19,3,0,0,standard_ok,False
128,২০২৬ আবার দেখা হবে,Will be seen again in 2026.,Neutral,Neutral,Standard,Standard,Informal,YouTube,18,4,0,0,standard_ok,False
129,Randomly coming from Instagram,Randomly coming from Instagram.,Neutral,Neutral,Other/Unclassified,English,Informal,YouTube,30,4,0,0,no_markers_found,False
130,নিকোল আপা কোথায়,Where is Nicole Apa?,Neutral,Female,Standard,Standard,Informal,YouTube,16,3,0,0,standard_ok,False
131,মুন্নী আপা আপা ধন্যবাদ,"Munni Apa, thanks.",Positive,Female,Standard,Standard,Informal,YouTube,22,4,0,0,standard_ok,False
132,বি এন পি কে ধন্যবাদ,Thanks to BNP.,Positive,Neutral,Standard,Standard,Informal,YouTube,19,5,0,0,standard_ok,True
133,Rajniti is incomplete without Nicole,Rajniti (Politics) is incomplete without Nicole.,Positive,Female,Other/Unclassified,English,Informal,YouTube,36,5,0,0,no_markers_found,False
134,নিকুন কে ছারা জমেনা,It doesn't warm up without Nicole.,Positive,Female,Other/Unclassified,Informal,Informal,YouTube,19,4,0,0,no_markers_found,False
135,নিকোল আপুকে মিস করছি,I miss Nicole Apu.,Positive,Female,Standard,Standard,Informal,YouTube,20,4,0,0,standard_ok,False
136,নিকুন আপুকে দেখতে চাই,I want to see Nicole Apu.,Positive,Female,Standard,Standard,Informal,YouTube,21,4,0,0,standard_ok,False
137,Slow motion program very bad,Slow motion program very bad.,Negative,Neutral,Other/Unclassified,English,Informal,YouTube,28,5,0,0,no_markers_found,False
138,বাংলাদেশ জামায়াতে ইসলামী জিন্দাবাদ,Bangladesh Jamaat-e-Islami Zindabad.,Positive,Neutral,Standard,Standard,Informal,YouTube,35,4,0,0,standard_ok,False
140,নিকোল আপুকে চাই,I want Nicole Apu.,Positive,Female,Standard,Standard,Informal,YouTube,15,3,0,0,standard_ok,False
141,নিকন আপু কে চাই,We want Nicole Apu.,Positive,Female,Standard,Standard,Informal,YouTube,15,4,0,0,standard_ok,False
142,B.N.Pr somossa kothay,Where is BNP's problem?,Neutral,Neutral,Other/Unclassified,Informal,Informal,YouTube,21,3,0,0,no_markers_found,False
143,নিকোল আপা কই,Where is Nicole Apa?,Neutral,Female,Standard,Standard,Informal,YouTube,12,3,0,0,standard_ok,False
144,Gono but age chai,We want the referendum first.,Neutral,Neutral,Other/Unclassified,Informal,Informal,YouTube,17,4,0,0,no_markers_found,False
145,মুন্নি আপা রাগি গেছে,Munni Apa got angry.,Neutral,Female,Standard,Standard,Informal,YouTube,20,4,0,0,standard_ok,False
146,জনগনটা খালি বোকা ভাবে,They only think the public is stupid.,Negative,Neutral,Standard,Standard,Informal,YouTube,21,4,0,0,standard_ok,False
147,বাংলাদেশ জামাতে ইসলাম জিন্দাবাদ,Bangladesh Jamaat-e-Islami Zindabad.,Positive,Neutral,Standard,Standard,Informal,YouTube,31,4,0,0,standard_ok,True
148,নির্বাচনে আগে ভোট চাই,We want the vote before the election.,Neutral,Neutral,Standard,Standard,Informal,YouTube,21,4,0,0,standard_ok,False
149,গণভোট আগে হওয়া উচিত,The referendum should be held first.,Neutral,Neutral,Standard,Standard,Formal,YouTube,20,4,0,0,standard_ok,True
150,গণভোট চাই ড ইউনুস,"We want the referendum, Dr. Yunus.",Neutral,Male,Standard,Standard,Informal,YouTube,17,4,0,0,standard_ok,True
151,আমাদের পরিক্ষার কি হবে,What will happen to our exam?,Neutral,Neutral,Standard,Standard,Informal,YouTube,22,4,0,0,standard_ok,False
152,বিএনপির সাথে একমত জানাই,I agree with BNP.,Positive,Neutral,Standard,Standard,Formal,YouTube,23,4,0,1,standard_with_dialect_markers,True
153,জামাত একটি রাজাকারের দল,Jamaat is a Razakar (collaborator) party.,Negative,Neutral,Standard,Standard,Formal,YouTube,23,4,0,0,standard_ok,True
154,আওয়ামী লীগের কাজ এগুলা,These are the actions of Awami League.,Negative,Neutral,Standard,Standard,Informal,YouTube,23,4,0,0,standard_ok,True
155,বাটপার মহিলা কই ছিল,Where was the fraudulent woman?,Negative,Female,Standard,Standard,Informal,YouTube,19,4,0,0,standard_ok,False
156,July cudi sudi devil,July is a devil (slang/derogatory).,Negative,Neutral,Other/Unclassified,English,Informal,YouTube,20,4,0,0,no_markers_found,False
157,এক আওয়াজে এই অবস্থা,This situation with just one sound (announcement).,Neutral,Neutral,Standard,Standard,Informal,YouTube,20,4,0,0,standard_ok,False
158,জয় বাংলা জয় বঙ্গবন্ধু,Joy Bangla Joy Bangabandhu.,Positive,Neutral,Standard,Standard,Informal,YouTube,23,4,0,0,standard_ok,False
159,লকডাউন সফল করুন জয়বাংলা,Make the lockdown successful. Joy Bangla.,Positive,Neutral,Standard,Standard,Informal,YouTube,24,4,0,1,standard_with_dialect_markers,False
161,Very good decision by government.,Very good decision by government.,Positive,Neutral,Other/Unclassified,English,Informal,YouTube,33,5,0,0,no_markers_found,False
162,আলহামদুলিল্লাহ মানুষ মানুষের জন্য,"Alhamdulillah (Praise be to God), man is for mankind.",Positive,Neutral,Other/Unclassified,Arabic,Informal,YouTube,33,4,0,0,no_markers_found,False
163,আওয়ামী লীগকে কত ভয়,How much fear of Awami League!,Negative,Neutral,Standard,Standard,Informal,YouTube,20,4,0,0,standard_ok,True
164,আওয়ামী লীগকে এত ভয় কেন?,Why so much fear of Awami League?,Negative,Neutral,Standard,Standard,Informal,YouTube,25,5,0,0,standard_ok,True
165,সরকার সঠিক সিদ্দান্ত নিয়েছে,The government has taken the right decision.,Positive,Neutral,Standard,Standard,Formal,YouTube,28,4,0,0,standard_ok,False
166,ডিম থেরাপি দিতে হবে,Egg therapy must be given.,Negative,Neutral,Standard,Standard,Informal,YouTube,19,4,0,0,standard_ok,False
167,পুনর্বাসন করে দেও তাদের,Rehabilitate them.,Neutral,Neutral,Standard,Standard,Informal,YouTube,23,4,0,0,standard_ok,False
168,কঠোর হস্তে দমন করতে হবে।,Must be suppressed with a strong hand.,Negative,Neutral,Standard,Standard,Formal,YouTube,24,5,0,0,standard_ok,False
169,এদেশ গৃহ যুদ্ধের দারপ্রান্তে,This country is on the verge of a civil war.,Negative,Neutral,Standard,Standard,Formal,YouTube,28,4,0,0,standard_ok,False
170,রাজাকারের গদি কাঁপছে,The throne of the Razakars is shaking.,Negative,Neutral,Standard,Standard,Informal,YouTube,20,3,0,0,standard_ok,False
171,এগুলো সব সাজানো,All of this is staged.,Negative,Neutral,Standard,Standard,Informal,YouTube,15,3,0,0,standard_ok,False
172,নির্বাচন বিছানোর দানতা,The deception of postponing the election.,Negative,Neutral,Standard,Standard,Informal,YouTube,22,3,0,0,standard_ok,False
173,সাধারণ মানুষ সব বুঝে,The common people understand everything.,Neutral,Neutral,Standard,Standard,Informal,YouTube,20,4,0,0,standard_ok,False
174,নাটক টা সুন্দর হয়নি।,The drama was not beautiful.,Negative,Neutral,Standard,Standard,Informal,YouTube,21,4,0,0,standard_ok,False
176,জয় বাংলা জয় বাংলা,Joy Bangla Joy Bangla.,Positive,Neutral,Standard,Standard,Informal,YouTube,19,4,0,0,standard_ok,False
177,শেখ হাসিনার ফাঁসি চাই!!!!!,We want Sheikh Hasina to be hanged!!!!!,Negative,Female,Standard,Standard,Formal,YouTube,26,4,0,0,standard_ok,False
179,নাটক দেখে ভালো লাগলো।,I felt good watching the drama.,Neutral,Neutral,Standard,Standard,Informal,YouTube,21,4,0,0,standard_ok,False
180,রাজা কারদের কাজ সব,All the work of the Razakars.,Negative,Neutral,Standard,Standard,Informal,YouTube,18,4,0,0,standard_ok,False
181,লীগ পিঠাও দেশ বাচাও,"Beat the League, save the country.",Negative,Neutral,Standard,Standard,Informal,YouTube,19,4,0,0,standard_ok,False
182,Joy bangla joy bangobandu,Joy Bangla Joy Bangabandhu.,Positive,Neutral,Other/Unclassified,English,Informal,YouTube,25,4,0,0,no_markers_found,False
183,​এনসিপিও শিবির-পরিচালিত নাটক: 'ককটেল'।,NCP and Shibir-directed drama: 'Cocktail'.,Negative,Neutral,Standard,Standard,Formal,YouTube,38,4,0,0,standard_ok,False
184,এগলো শিবিরের কাজ,This is Shibir's work.,Negative,Neutral,Standard,Standard,Informal,YouTube,16,3,0,0,standard_ok,False
185,দেশটা কোথায় যাচ্ছে,Where is the country going?,Neutral,Neutral,Standard,Standard,Informal,YouTube,19,3,0,0,standard_ok,False
186,নাটক কম কর পিও,"Do less drama, dear.",Negative,Neutral,Standard,Standard,Informal,YouTube,14,4,0,0,standard_ok,False
188,ক্ষমতা দীর্ঘায়িত করার ধান্দা,The scheme to prolong power.,Negative,Neutral,Standard,Standard,Formal,YouTube,29,4,0,0,standard_ok,False
189,এটা শিবিরের কাজ,This is Shibir's work.,Negative,Neutral,Standard,Standard,Informal,YouTube,15,3,0,0,standard_ok,False
190,শেখ হাসিনার ফাসি চাই,We want Sheikh Hasina to be hanged.,Negative,Female,Standard,Standard,Formal,YouTube,20,4,0,0,standard_ok,False
192,জয় বাংলা র কাজ,Joy Bangla's work.,Negative,Neutral,Standard,Standard,Informal,YouTube,15,4,0,0,standard_ok,False
193,চকলেট বোমা ফুটায়ছে নাকি?,Did they set off a chocolate bomb?,Neutral,Neutral,Standard,Standard,Informal,YouTube,25,4,0,0,standard_ok,False
194,নির্বাচন পিছানোর ধান্ধা,The scheme to postpone the election.,Negative,Neutral,Standard,Standard,Informal,YouTube,23,3,0,0,standard_ok,False
195,এগুলো জনগণ খায় না,The people don't buy this.,Negative,Neutral,Standard,Standard,Informal,YouTube,18,4,0,0,standard_ok,False
197,নাটক কম করো পিও,"Do less drama, dear.",Negative,Neutral,Standard,Standard,Informal,YouTube,15,4,0,0,standard_ok,False
198,টিএসসিতে কি আওয়ামিলীগ আছে?,Is Awami League at TSC?,Neutral,Neutral,Standard,Standard,Informal,YouTube,27,4,0,0,standard_ok,False
199,কি নাটক হায় আল্লাহ,"What a drama, oh Allah!",Negative,Neutral,Standard,Standard,Informal,YouTube,19,4,0,0,standard_ok,False
202,Fakhrul awamik nirapotta dibe.,Fakhrul will give security to Awami League.,Negative,Male,Other/Unclassified,Informal,Informal,YouTube,30,4,0,0,no_markers_found,False
203,শিবিরের বন্ধু ছাএলীগ,Chhatra League is Shibir's friend.,Negative,Neutral,Standard,Standard,Informal,YouTube,20,3,0,0,standard_ok,False
